2003,12,5,1500,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,MOON RD & TEXAS RIDGE
2003,6,2,2100,2-Car,No injury/unknown,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,BURMA & WAMPLER
2003,2,6,1600,1-Car,Non-incapacitating,UNSAFE SPEED,BURMA RD & BUSKICK
2003,1,5,2000,1-Car,No injury/unknown,ROAD UNDER CONSTRUCTION,BURMA RD & MT PLEASANT
2003,5,4,1600,Moped/Motorcycle,Non-incapacitating,ROADWAY SURFACE CONDITION,LIBERTY HOLLOW & WAMPLER RD
2003,11,3,1700,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,3RD & LIBERTY DR
2003,11,3,800,2-Car,No injury/unknown,PASSENGER DISTRACTION,3RD ST & LIBERTY
2003,1,6,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,3RD ST & LIBERTY
2003,12,6,1600,2-Car,No injury/unknown,IMPROPER TURNING,3RD ST & LIBERTY
2003,9,6,2100,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,BRYANTS CREEK RD & SR37
2003,8,6,1100,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,BRYANTS CREEK & SR 37
2003,2,5,700,1-Car,Non-incapacitating,ROADWAY SURFACE CONDITION,BRYANTS CREEK & SR37
2003,6,1,1200,1-Car,Non-incapacitating,JACKKNIFING,BURMA & SR37
2003,2,6,1100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,2ND & LANDMARK AVE
2003,2,2,700,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,BRYANTS CREEK & SR37
2003,7,5,1200,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,BURMA & SR 37
2003,2,5,2300,1-Car,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,BURMA & SR37
2003,2,5,2200,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,BURMA & SR37
2003,2,5,2000,1-Car,No injury/unknown,RAN OFF ROAD LEFT,BURMA & SR37
2003,8,3,1500,Bus,No injury/unknown,LEFT OF CENTER,BOTTOM & PRATHER RD
2003,7,2,1400,2-Car,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SR37 & SYLVAN
2003,7,2,1200,2-Car,No injury/unknown,LEFT OF CENTER,FARR RD & LEWIS
2003,3,3,2200,1-Car,No injury/unknown,UNSAFE SPEED,MT TABOR & TABOR HILL
2003,6,1,1900,1-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,CHAMBERS & SR37
2003,2,5,2000,3+ Cars,Non-incapacitating,UNSAFE SPEED,CROSS OVER & SR 37
2003,8,5,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,CHAMBERS & SR37
2003,1,6,1700,2-Car,Non-incapacitating,LEFT OF CENTER,CHAMBERS & SR37
2003,3,7,1100,1-Car,Non-incapacitating,PEDESTRIAN ACTION,NORTH & RAILROAD ST
2003,7,3,1200,2-Car,Non-incapacitating,ROADWAY SURFACE CONDITION,MAIN & STINESVILLE RD
2003,6,6,1800,1-Car,No injury/unknown,BRAKE FAILURE OR DEFECTIVE,MAIN & STINESVILLE RD
2003,11,6,1900,2-Car,Non-incapacitating,LEFT OF CENTER,MT CARMEL & STINESVILLE RD
2003,12,4,1300,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,MT TABOR RD & WALKER
2003,1,2,1900,1-Car,No injury/unknown,RAN OFF ROAD LEFT,FOX HOLLOW & SR37
2003,4,7,0,1-Car,Incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,FOX HOLLOW & SR37
2003,6,5,1200,2-Car,No injury/unknown,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,US37
2003,11,1,600,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,FOX HOLLOW & SR37
2003,1,2,1300,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,ANDERSON RD & FARR
2003,10,7,200,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,LEE PAUL & SR 37
2003,10,2,1900,1-Car,Non-incapacitating,NONE (DRIVER),SR37 & VENAL
2003,6,2,1400,3+ Cars,Non-incapacitating,INSECURE/LEAKY LOAD,CROSSOVER & SR37
2003,2,6,800,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,SIMPSON CHAPEL & SR37
2003,11,1,800,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SR37 & WILLIAMS
2003,11,2,1800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SIMPSON CHAPEL & SR37
2003,1,1,2200,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,SR46 & STINESVILLE
2003,2,5,2100,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,BARR & MT TABOR RD
2003,2,7,300,1-Car,No injury/unknown,ALCOHOLIC BEVERAGES,NORTON & S FAIRFAX RD
2003,9,1,1600,2-Car,No injury/unknown,VIEW OBSTRUCTED,SR 37 & WINERY
2003,3,1,1300,2-Car,No injury/unknown,TOW HITCH FAILURE,ANDERSON & NORTH SHORE
2003,2,3,1200,2-Car,No injury/unknown,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,SR37
2003,5,6,1300,1-Car,No injury/unknown,BRAKE FAILURE OR DEFECTIVE,SR37
2003,6,1,300,1-Car,Non-incapacitating,ALCOHOLIC BEVERAGES,CONNAUGHT & SR37
2003,4,2,900,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,SR39
2003,9,6,2100,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,SR37
2003,5,6,1300,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAMPLE & SR37
2003,6,6,1500,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SR46 & STINESVILLE
2003,8,6,600,2-Car,No injury/unknown,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,SAMPLE & SR37
2003,12,5,2300,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,SAMPLE RD & SR37
2003,8,4,1500,2-Car,Non-incapacitating,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,COWDEB & MT TABOR RD
2003,5,6,0,1-Car,No injury/unknown,ALCOHOLIC BEVERAGES,SR 37 & W SAMPLE
2003,11,2,2200,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,SAMPLE & SR37
2003,7,4,1400,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SAMPLE & SR37
2003,1,7,900,1-Car,Non-incapacitating,UNSAFE SPEED,SAMPLE RD & SR37
