38,52,29,568
33,22,26,793
38,64,26,597
41,48,32,568
33,29,27,650
33,19,40,715
41,64,42,633
32,53,58,681
39,32,50,679
41,35,31,785
41,26,31,804
40,54,26,694
40,19,31,633
35,39,28,684
30,28,49,560
41,38,53,656
31,57,32,751
33,39,55,687
37,64,53,794
34,23,25,678
37,59,29,736
39,62,42,599
42,40,39,835
33,53,46,681
36,53,49,784
31,29,51,600
40,32,36,611
37,29,38,690
36,59,30,705
33,36,55,594
32,17,50,655
39,40,54,832
31,50,49,812
37,67,29,820
37,19,28,594
35,55,42,688
40,42,58,771
37,64,51,767
30,44,44,744
32,29,25,674
36,65,46,726
37,65,52,700
32,56,55,771
36,17,51,576
36,44,29,626
31,48,48,816
37,35,49,627
37,23,35,622
40,35,40,794
39,16,49,774
32,44,56,564
30,49,27,588
38,18,30,697
37,63,41,619
32,23,55,570
41,66,52,575
35,65,28,682
41,61,26,645
32,27,55,703
41,44,57,821
41,64,26,743
35,37,53,680
39,57,43,560
37,16,59,825
39,47,38,553
39,47,42,628
33,58,51,737
33,37,45,656
39,28,50,770
38,41,46,677
33,17,43,775
38,48,52,741
33,23,41,635
30,51,46,605
34,56,27,749
36,16,26,623
41,30,45,791
37,67,55,682
34,51,25,769
38,46,34,673
39,54,30,662
39,40,25,574
33,43,47,585
37,56,41,593
32,58,59,657
39,29,43,610
30,54,48,762
38,45,50,596
32,58,57,832
40,24,43,561
40,53,53,766
37,30,54,632
36,30,44,662
41,44,26,548
38,17,37,576
38,41,45,789
30,28,59,838
34,34,39,703
33,26,49,592
32,28,30,786
