29,52,38,568
26,22,33,793
26,64,38,597
32,48,41,568
27,29,33,650
40,19,33,715
42,64,41,633
58,53,32,681
50,32,39,679
31,35,41,785
31,26,41,804
26,54,40,694
31,19,40,633
28,39,35,684
49,28,30,560
53,38,41,656
32,57,31,751
55,39,33,687
53,64,37,794
25,23,34,678
29,59,37,736
42,62,39,599
39,40,42,835
46,53,33,681
49,53,36,784
51,29,31,600
36,32,40,611
38,29,37,690
30,59,36,705
55,36,33,594
50,17,32,655
54,40,39,832
49,50,31,812
29,67,37,820
28,19,37,594
42,55,35,688
58,42,40,771
51,64,37,767
44,44,30,744
25,29,32,674
46,65,36,726
52,65,37,700
55,56,32,771
51,17,36,576
29,44,36,626
48,48,31,816
49,35,37,627
35,23,37,622
40,35,40,794
49,16,39,774
56,44,32,564
27,49,30,588
30,18,38,697
41,63,37,619
55,23,32,570
52,66,41,575
28,65,35,682
26,61,41,645
45,47,38,754
57,44,41,821
26,64,41,743
53,37,35,680
43,57,39,560
59,16,37,825
38,47,39,553
42,47,39,628
51,58,33,737
45,37,33,656
50,28,39,770
46,41,38,677
43,17,33,775
52,48,38,741
41,23,33,635
46,51,30,605
27,56,34,749
26,16,36,623
45,30,41,791
55,67,37,682
25,51,34,769
34,46,38,673
30,54,39,662
25,40,39,574
46,61,37,800
41,56,37,593
59,58,32,657
43,29,39,610
48,54,30,762
50,45,38,596
57,58,32,832
43,24,40,561
53,53,40,766
54,30,37,632
44,30,36,662
26,44,41,548
37,17,38,576
45,41,38,789
59,28,30,838
39,34,34,703
49,26,33,592
30,28,32,786
